time [ns],ax [m s-2],ay [m s-2],az [m s-2],p [rad/s],q [rad/s],r [rad/s]
1314552000,-3.2141162109375,14.034814453125001,-3.036884765625,-0.12037487294920317,0.008522114968104911,-0.4527373520239569
1317549000,3.8368212890625,3.324287109375,-2.615361328125,0.1320927817455518,0.08415589044650393,0.9928263878025128
1318548000,5.19240234375,7.7790234375,-0.613125,-0.0916127331763474,0.04261057744126781,0.8287756646536317
1321545000,-4.2966650390625,11.280541992187501,-3.7170703125,-0.06178533312864912,-0.02876213769226117,-0.9576726614134667
1324541000,2.4908203125,7.721542968750001,-1.1304492187500002,-0.1267664595653933,0.09054746874031569,0.9534116036693401
1327538000,0.2442919921875,9.5944482421875,-2.93150390625,-0.0660463908727759,-0.046871631024205385,-0.40160465909443543
1328537000,-3.3386572265625003,5.1013916015625,-4.9576904296875,0.10333064197269604,-0.08522115488253562,-0.9086704973560087
1331534000,0.7807763671875,13.4935400390625,0.18202148437500001,-0.03195793100035626,0.10546117084475942,0.7233144854864939
1334530000,2.5818310546875,2.0453466796875,-5.992338867187501,0.1342233106176152,-0.044741102152142,-0.069242184180871
1337527000,-3.0464648437500004,14.633569335937501,0.18681152343750002,0.07882956826634545,-0.001065264371013114,-0.2908171910366528
1338526000,-0.7999365234375,11.543994140625001,-0.7711962890625,0.06498112643674421,0.1118527574609496,0.2908171910366528
1339525000,1.8250048828125,6.9790869140625,-3.2141162109375,0.007456850532073217,0.1395496327977737,0.6551376281594925
1343521000,-2.0549267578125,12.645703125,0.7041357421875001,0.011717907756051346,-0.027696873256229475,-0.37923410593776985
1344519000,-3.3817675781250003,12.1475390625,0.5125341796875,0.03728425526110934,0.03089266656432456,-0.4037351879664989
1347516000,1.025068359375,7.529941406250001,-5.958808593750001,-0.14168016999221547,-0.02663160882019778,0.38456042811792834
1348515000,2.7207421875,11.0602001953125,-1.906435546875,0.005326322180158476,-0.019174759848570515,0.5890912331255275
1349514000,3.23806640625,11.1368408203125,0.8190966796875,0.19387811071301173,0.027696873256229475,0.5315669202903023
1352511000,-2.9075537109375,8.6939208984375,-4.8044091796875,-0.09693905535650586,-0.05432848207642726,-0.7115965766901452
1356506000,4.416416015625,7.050937500000001,0.3975732421875,0.3334277684779206,0.10013484866460096,0.9747168923899739
1358504000,2.883603515625,7.405400390625,-2.9362939453125003,-0.07456851052221868,0.004261057484052456,0.043675841877299504
1359503000,-1.0490185546875002,11.63021484375,-4.5265869140625,-0.20666128394539207,-0.11291802189698129,-0.6679208013918729
1363498000,2.3040087890625003,7.91314453125,-0.7903564453125,0.14700649217237394,0.12357066625729823,0.7776429717241102
1364497000,3.8416113281250004,9.0867041015625,-1.5711328125000001,-0.02024002428460221,0.138484368361742,0.9214536705883891
1367494000,-2.078876953125,9.666298828125,-3.2428564453125,-0.02663160882019778,-0.178964408608568,-0.7755124428520469
1368493000,-3.7410205078125003,12.717553710937501,-0.7616162109375001,0.07350324608618697,-0.1331580461815835,-0.8330367223977584
1370491000,-0.8382568359375,8.44962890625,-1.8058447265625002,0.10546117084475942,0.14061490555618378,0.39521307247824533
1372489000,3.96615234375,4.6990283203125,-4.339775390625,-0.039414784133172724,-0.002130528742026228,0.8394283090139487
1375485000,-2.9123437500000002,14.006074218750001,0.10538085937500001,0.10865696415285452,-0.08628641931856731,-0.7904261449564907
1377483000,-3.094365234375,7.2281689453125,-3.3865576171875,0.2002696973292019,0.1320927817455518,-0.03834951969714103
1378482000,0.469423828125,3.755390625,-6.0498193359375,0.10226537753666434,0.06285059756468081,0.605070199666003
1380480000,5.3887939453125,11.409873046875001,-1.5328125000000001,-0.001065264371013114,-0.11930960851317148,0.5688512088409252
1382478000,-2.0070263671875,10.533295898437501,-0.15328125,0.20666128394539207,-0.010652644360316953,-0.553937473446968
1385474000,-1.0681787109375,6.53361328125,-6.0498193359375,-0.10972222858888621,-0.0458063665881737,0.1778991441725363
1387472000,3.88951171875,15.922089843750001,0.5029541015625,-0.021305288720633905,-0.021305288720633905,0.6583334214675877
1388471000,3.1662158203125004,9.560917968750001,0.0718505859375,0.18109493748063138,0.04048004856920442,0.37710357706570646
1390469000,-1.906435546875,2.557880859375,-4.521796875000001,0.0671116553088076,-0.04154531300523611,-0.4005393946584038
1392467000,-2.7446923828125,15.5724169921875,-2.3710693359375,-0.18961705296888492,-0.14594122773634224,-0.30999195088522336
1395463000,3.075205078125,3.9853125,-2.4477099609375,0.28549086885649433,0.09267799761237908,0.5890912331255275
1397461000,2.0166064453125,5.2929931640625005,-3.975732421875,-0.046871631024205385,-0.03834951969714103,0.20559601950936035
1398460000,-0.052690429687500005,13.64203125,-1.5663427734375002,-0.16192019427681767,-0.1374191039257103,-0.26525082792713534
1401457000,-2.24173828125,5.3217333984375,-3.8080810546875004,0.2077265483814238,0.03621899082507764,-0.22050972161380408
1405452000,3.1853759765625003,11.754755859375,-0.076640625,-0.017044229936209822,-0.09054746874031569,0.28549086885649433
1408449000,-5.5612353515625,7.8125537109375,-4.7469287109375005,0.19494337514904342,-0.03195793100035626,-0.8681904487868044
1409448000,-4.1146435546875,5.5229150390625,-5.599555664062501,0.18535599522475815,0.04793689546023708,-0.09054746874031569
1412445000,5.685776367187501,10.5907763671875,-0.9915380859375,0.03621899082507764,-0.046871631024205385,0.8681904487868044
1414442000,-0.6274951171875001,9.3118359375,-4.13859375,0.08628641931856731,-0.14594122773634224,-0.8351672512698218
1417439000,-0.9723779296875,7.8700341796875,-1.8776953125,0.0458063665881737,0.019174759848570515,0.3920172791701502
1418438000,2.8596533203125003,10.4470751953125,-1.55197265625,-0.12996225287348842,0.03195793100035626,0.9118662906641039
1420436000,3.3338671875,9.4315869140625,-3.27638671875,-0.1331580461815835,-0.05752427538452234,0.1992044328931702
1423432000,-3.1374755859375,8.919052734375,-1.0394384765625,0.10333064197269604,-0.08309062601047222,-0.4165183611988792
1425430000,1.0202783203125,12.6121728515625,-1.465751953125,-0.14594122773634224,0.01810949541253882,0.4271710055591962
1427428000,1.9399658203125,6.8545458984375,-4.129013671875001,0.1118527574609496,-0.025566344384166086,0.3707119904495163
1429426000,-0.28261230468750004,5.6378759765625,-2.0070263671875,0.2588592413109451,-0.10865696415285452,-0.18748652409682154
1431424000,-2.12677734375,15.352075195312501,-0.6849755859375001,0.014913701064146434,-0.04261057744126781,-0.2876213977285577
1434420000,2.615361328125,3.50630859375,-5.566025390625001,0.2716424145433255,-0.05539374651245895,0.5315669202903023
1437417000,0.756826171875,13.689931640625002,0.680185546875,-0.001065264371013114,-0.03089266656432456,-0.1374191039257103
1439415000,-3.879931640625,7.711962890625,-5.513334960937501,-0.05858953982055403,-0.07776430383031376,-0.6668555369558412
1441413000,0.1197509765625,6.964716796875001,-4.473896484375,-0.0,-0.08415589044650393,0.2897519266006211
1443410000,3.9374121093750003,12.128378906250001,1.8441650390625002,0.05326321764039556,0.0660463908727759,0.7936219382645856
1445408000,-0.27303222656250004,5.7049365234375005,-4.1338037109375,-0.09693905535650586,-0.0916127331763474,-0.3728425193215797
1448405000,-2.883603515625,13.249248046875001,-1.1543994140625,0.052197953204363864,-0.08202536157444053,-0.14274543442824716
1449404000,0.1676513671875,11.63021484375,0.7232958984375001,0.21198760612555057,0.05432848207642726,0.583764910945369
1451402000,4.895419921875,2.24173828125,-3.7745507812500003,0.07350324608618697,0.05113268876833217,0.7904261449564907
1455397000,-3.8416113281250004,13.3977392578125,-0.25387207031250003,0.29933930652490637,-0.07882956826634545,-0.6348976038748904
1458394000,4.1146435546875,5.326523437500001,-5.527705078125,-0.07882956826634545,0.007456850532073217,0.9161273484082307
1459393000,4.1817041015625005,10.59556640625,-4.0380029296875,-0.17470336750919802,-0.12783172400142503,0.5028047805174465
1462389000,-4.129013671875001,8.205336914062501,-1.0346484375,0.3259709174256987,-0.04154531300523611,-0.8362325157058536
1465386000,1.8010546875000002,11.1081005859375,-4.6128076171875,-0.22477077935793086,-0.04154531300523611,0.7840345583403004
1468383000,1.3172607421875,5.470224609375,-0.9580078125,0.16724651645697614,-0.07776430383031376,-0.3025350998330015
1469382000,-2.6728417968750002,6.591093750000001,-2.0453466796875,0.07350324608618697,-0.05432848207642726,-0.7552724185674446
1470381000,-4.881049804687501,8.564589843750001,-3.81287109375,-0.10120011310063265,-0.03302319543638795,-0.7009439323298282
1474376000,5.2259326171875005,8.2628173828125,-0.7280859375000001,0.15233281435253243,-0.03089266656432456,0.5890912331255275
1475375000,3.5973193359375,5.8007373046875,-1.7723144531250001,0.16937704532903955,-0.01597896550017813,0.11291802189698129
1478372000,-2.9746142578125,11.318862304687501,-3.113525390625,-0.002130528742026228,-0.11930960851317148,-0.4229099478150694
1479371000,-0.8574169921875,11.783496093750001,-2.70158203125,-0.005326322180158476,-0.11291802189698129,-0.1352885750536469
1480370000,1.36037109375,11.117680664062501,-2.1794677734375,0.03834951969714103,-0.044741102152142,0.16724651645697614
1483366000,0.48379394531250003,2.9554541015625,-3.8464013671875,0.16192019427681767,0.02450107994813439,0.25566344800285007
1486363000,-2.3614892578125,15.0359326171875,-1.7771044921875,-0.12037487294920317,-0.1565938720966592,-0.608265992974098
