time [ns],x [m],y [m],z [m],a [rad],b [rad],c [rad],d [rad]
1212499999,-0.39970100000000003,0.9982989999999999,2.8287459999999998,-0.115345,0.991085,0.061684,0.025333
1224999999,-0.398567,0.999724,2.82823,-0.11241,0.991424,0.061274,0.026220999999999998
1237500000,-0.395029,1.0042790000000001,2.825732,-0.146508,0.9819379999999999,0.11141,0.043829
1250000000,-0.394413,1.005524,2.825499,-0.136392,0.984721,0.10044600000000001,0.040398
1262500000,-0.39393,1.00668,2.8252770000000003,-0.128354,0.9867309999999999,0.09196499999999999,0.037808
1274999999,-0.39224699999999996,1.009089,2.824273,-0.141033,0.9833040000000001,0.107278,0.041402999999999995
1287499999,-0.391687,1.0102440000000001,2.824048,-0.13335,0.985203,0.09990399999999999,0.040141
1300000000,-0.391191,1.011343,2.82381,-0.124349,0.987195,0.092151,0.038624
1312500000,-0.390654,1.011974,2.8233650000000003,-0.12670399999999998,0.987283,0.08867699999999999,0.03682
1325000000,-0.387839,1.0172139999999998,2.822107,-0.157931,0.977424,0.12931800000000002,0.05455700000000001
1337499999,-0.389355,1.01745,2.821748,-0.12892,0.985074,0.10813699999999998,0.036257
1349999999,-0.38901199999999997,1.018542,2.821572,-0.12251500000000001,0.9869389999999999,0.098597,0.034921
1362500000,-0.388726,1.0197450000000001,2.821442,-0.114425,0.988923,0.088693,0.032737
1375000000,-0.388509,1.020743,2.8212639999999998,-0.11005,0.989983,0.082539,0.031793
1387500000,-0.38829,1.021879,2.821039,-0.104101,0.991142,0.076289,0.031301
1399999999,-0.385805,1.025267,2.819485,-0.142228,0.981885,0.116906,0.044797000000000003
1412499999,-0.38608200000000004,1.0262959999999999,2.819375,-0.133464,0.984392,0.108089,0.038438
1425000000,-0.386077,1.027515,2.8193639999999998,-0.126139,0.986624,0.096138,0.037689999999999994
1437500000,-0.385942,1.028818,2.819347,-0.117673,0.988721,0.08517000000000001,0.036469999999999995
1450000000,-0.385637,1.0294,2.819131,-0.11902599999999999,0.988526,0.085846,0.035765
1462499999,-0.385676,1.030913,2.819086,-0.114327,0.989727,0.07813300000000001,0.035558
1474999999,-0.385351,1.031765,2.81882,-0.11676600000000001,0.9893559999999999,0.07972699999999999,0.034414
1487500000,-0.383912,1.035143,2.817575,-0.138786,0.982524,0.114095,0.048656
1500000000,-0.38369899999999996,1.0368899999999999,2.817357,-0.1418,0.982402,0.112193,0.046823000000000004
1512500000,-0.383499,1.0381610000000001,2.817186,-0.148725,0.9808100000000001,0.11723,0.046375
1524999999,-0.383403,1.040466,2.817245,-0.14465999999999998,0.982666,0.10630999999999999,0.046258
1537499999,-0.38340599999999997,1.041684,2.817169,-0.141949,0.983526,0.102287,0.045425
1550000000,-0.38364299999999996,1.043139,2.817129,-0.13615,0.9846659999999999,0.100638,0.042058
1562500000,-0.38342,1.045239,2.816618,-0.13389,0.9837030000000001,0.108902,0.050418
1575000000,-0.383405,1.046533,2.8165880000000003,-0.134463,0.9849120000000001,0.097694,0.048212
1587499999,-0.383412,1.047487,2.816491,-0.13183699999999998,0.986136,0.08863,0.04796
1599999999,-0.382932,1.050768,2.816846,-0.151086,0.981151,0.109018,0.051285000000000004
1612500000,-0.383024,1.0522280000000002,2.816805,-0.144808,0.982284,0.106751,0.052462
1625000000,-0.382963,1.0544149999999999,2.816423,-0.158342,0.978032,0.124527,0.053616
1637500000,-0.384738,1.054702,2.816592,-0.138873,0.985298,0.092073,0.03776
1649999999,-0.384848,1.05615,2.816637,-0.131134,0.987405,0.080592,0.036617000000000004
1662499999,-0.384542,1.060181,2.816259,-0.137445,0.983865,0.105847,0.043751
1675000000,-0.385243,1.061246,2.81619,-0.136164,0.984662,0.10220900000000001,0.038129
1687500000,-0.385301,1.064244,2.816216,-0.137648,0.9840559999999999,0.104425,0.042211
1700000000,-0.385521,1.066993,2.816103,-0.130607,0.984762,0.106464,0.04303
1712499999,-0.385748,1.0682639999999999,2.816109,-0.133325,0.984641,0.103805,0.043937000000000004
1724999999,-0.38614,1.070661,2.816263,-0.137489,0.9840059999999999,0.105181,0.042031
1737500000,-0.386575,1.074383,2.816127,-0.134607,0.9839629999999999,0.10929900000000001,0.041858
1750000000,-0.38648899999999997,1.076425,2.816097,-0.145387,0.982223,0.11014700000000001,0.044368
1762500000,-0.386367,1.080682,2.816186,-0.146802,0.981298,0.114197,0.049621
1774999999,-0.38728,1.082806,2.816024,-0.12975699999999998,0.9841989999999999,0.109883,0.049401
1787499999,-0.387056,1.085913,2.816529,-0.147396,0.981251,0.113327,0.050765
1800000000,-0.389191,1.087404,2.816566,-0.12246900000000001,0.9872190000000001,0.095053,0.036951
1812500000,-0.388964,1.0903370000000001,2.816338,-0.134945,0.983191,0.113821,0.046584
1825000000,-0.389434,1.092441,2.816627,-0.12217,0.987293,0.091102,0.045027
1837499999,-0.389275,1.095751,2.8166439999999997,-0.14378,0.9829899999999999,0.10572899999999999,0.043342
1849999999,-0.389833,1.0980379999999998,2.816864,-0.141247,0.9838680000000001,0.100906,0.043262
1862500000,-0.38960300000000003,1.1029309999999999,2.817246,-0.145119,0.980358,0.12175599999999999,0.054899
1875000000,-0.390931,1.103587,2.817207,-0.134743,0.98426,0.106351,0.042036000000000004
1887500000,-0.391243,1.1069280000000001,2.817161,-0.138649,0.9816469999999999,0.12109400000000001,0.049819
1899999999,-0.39174699999999996,1.109713,2.8173790000000003,-0.127869,0.9839620000000001,0.112248,0.05355599999999999
1912499999,-0.392755,1.111529,2.817751,-0.13328800000000002,0.983807,0.11044200000000001,0.046482
1925000000,-0.393256,1.113206,2.8181130000000003,-0.126608,0.9862620000000001,0.096929,0.043160000000000004
1937500000,-0.393442,1.117197,2.818232,-0.127924,0.984492,0.108392,0.051592
1950000000,-0.393806,1.119884,2.818324,-0.140961,0.98105,0.124073,0.047725
1962499999,-0.394386,1.122484,2.818911,-0.136551,0.98351,0.107778,0.049456
1974999999,-0.39473800000000003,1.124395,2.81917,-0.146222,0.9819549999999999,0.11068499999999999,0.046183999999999996
1987500000,-0.395332,1.1271280000000001,2.819529,-0.143979,0.982569,0.10883399999999999,0.044539999999999996
2000000000,-0.396987,1.130192,2.819966,-0.12396700000000001,0.985933,0.105484,0.037964
2012500000,-0.397012,1.13325,2.820328,-0.12843,0.9839370000000001,0.11426099999999999,0.048149000000000004
2024999999,-0.397316,1.13543,2.820811,-0.136498,0.98359,0.107385,0.048863
2037499999,-0.398009,1.1388479999999999,2.821167,-0.148393,0.979916,0.125007,0.046021
2050000000,-0.398486,1.1409479999999999,2.8218259999999997,-0.12875599999999998,0.983917,0.11260799999999999,0.051474
2062500000,-0.399123,1.14319,2.82234,-0.12653599999999998,0.98424,0.111767,0.052624000000000004
2075000000,-0.39947699999999997,1.144659,2.822635,-0.129651,0.9845450000000001,0.10536400000000001,0.052542
2087499999,-0.400099,1.146983,2.823386,-0.138783,0.983225,0.108516,0.047244
2099999999,-0.400363,1.1508690000000001,2.824312,-0.14478,0.9806870000000001,0.12045399999999999,0.052743
2112500000,-0.401525,1.1524159999999999,2.8246439999999997,-0.131879,0.9830760000000001,0.11654,0.050875
2125000000,-0.401943,1.153392,2.8250319999999998,-0.136794,0.9825440000000001,0.115845,0.049743
2137500000,-0.401871,1.1561379999999999,2.826019,-0.153156,0.9786520000000001,0.125782,0.054437
2149999999,-0.403351,1.157427,2.8263830000000003,-0.136329,0.983092,0.11131300000000001,0.050532
2162499999,-0.403587,1.158588,2.826987,-0.135047,0.984216,0.104393,0.046725
2175000000,-0.404404,1.160418,2.827841,-0.13931400000000002,0.9831639999999999,0.108724,0.046475
2187499999,-0.40531300000000003,1.163549,2.8286290000000003,-0.129262,0.983906,0.112418,0.050817
2200000000,-0.40579899999999997,1.164965,2.829228,-0.129142,0.9838180000000001,0.11274,0.052091
2212499999,-0.406536,1.166514,2.8300970000000003,-0.13256700000000002,0.982582,0.119771,0.051124
2225000000,-0.406956,1.167943,2.830616,-0.128639,0.984353,0.10808,0.0531
2237500000,-0.407525,1.169138,2.831418,-0.131279,0.984319,0.10488399999999999,0.053679
2249999999,-0.407525,1.169138,2.831418,-0.131279,0.984319,0.10488399999999999,0.053679
2262500000,-0.407525,1.169138,2.831418,-0.131279,0.984319,0.10488399999999999,0.053679
2274999999,-0.40912,1.172241,2.833646,-0.130333,0.985477,0.095386,0.052434
