Sequence,Obstacle x,Obstacle y,Obstacle z,Lux,OptiTrack initial y rotation offset,Incl. Video
184,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
184,1.1916,1.9631,0.009631,100,-2.00712863979348,1
185,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
185,1.1916,1.9631,0.009631,100,-2.00712863979348,1
186,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
186,1.1916,1.9631,0.009631,100,-2.00712863979348,1
187,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
187,1.1916,1.9631,0.009631,100,-2.00712863979348,1
188,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
188,1.1916,1.9631,0.009631,100,-2.00712863979348,1
189,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
189,1.1916,1.9631,0.009631,100,-2.00712863979348,1
190,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
190,1.1916,1.9631,0.009631,100,-2.00712863979348,1
191,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
191,1.1916,1.9631,0.009631,100,-2.00712863979348,1
192,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
192,1.1916,1.9631,0.009631,100,-2.00712863979348,1
193,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
193,1.1916,1.9631,0.009631,100,-2.00712863979348,1
194,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
194,1.1916,1.9631,0.009631,100,-2.00712863979348,1
195,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
195,1.1916,1.9631,0.009631,100,-2.00712863979348,1
196,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
196,1.1916,1.9631,0.009631,100,-2.00712863979348,1
197,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
197,1.1916,1.9631,0.009631,100,-2.00712863979348,1
198,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
198,1.1916,1.9631,0.009631,100,-2.00712863979348,1
199,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
199,1.1916,1.9631,0.009631,100,-2.00712863979348,1
200,-0.90415,2.1311,0.14613,100,-2.00712863979348,0
200,1.1916,1.9631,0.009631,100,-2.00712863979348,0
201,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
201,1.1916,1.9631,0.009631,100,-2.00712863979348,1
202,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
202,1.1916,1.9631,0.009631,100,-2.00712863979348,1
203,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
203,1.1916,1.9631,0.009631,100,-2.00712863979348,1
204,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
204,1.1916,1.9631,0.009631,100,-2.00712863979348,1
205,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
205,1.1916,1.9631,0.009631,100,-2.00712863979348,1
206,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
206,1.1916,1.9631,0.009631,100,-2.00712863979348,1
207,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
207,1.1916,1.9631,0.009631,100,-2.00712863979348,1
208,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
208,1.1916,1.9631,0.009631,100,-2.00712863979348,1
209,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
209,1.1916,1.9631,0.009631,100,-2.00712863979348,1
210,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
210,1.1916,1.9631,0.009631,100,-2.00712863979348,1
211,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
211,1.1916,1.9631,0.009631,100,-2.00712863979348,1
212,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
212,1.1916,1.9631,0.009631,100,-2.00712863979348,1
213,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
213,1.1916,1.9631,0.009631,100,-2.00712863979348,1
214,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
214,1.1916,1.9631,0.009631,100,-2.00712863979348,1
215,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
215,1.1916,1.9631,0.009631,100,-2.00712863979348,1
216,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
216,1.1916,1.9631,0.009631,100,-2.00712863979348,1
217,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
217,1.1916,1.9631,0.009631,100,-2.00712863979348,1
218,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
218,1.1916,1.9631,0.009631,100,-2.00712863979348,1
219,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
219,1.1916,1.9631,0.009631,100,-2.00712863979348,1
220,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
220,1.1916,1.9631,0.009631,100,-2.00712863979348,1
221,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
221,1.1916,1.9631,0.009631,100,-2.00712863979348,1
222,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
222,1.1916,1.9631,0.009631,100,-2.00712863979348,1
223,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
223,1.1916,1.9631,0.009631,100,-2.00712863979348,1
224,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
224,1.1916,1.9631,0.009631,100,-2.00712863979348,1
225,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
225,1.1916,1.9631,0.009631,100,-2.00712863979348,1
226,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
226,1.1916,1.9631,0.009631,100,-2.00712863979348,1
227,-0.90415,2.1311,0.14613,100,-2.00712863979348,1
